OGS	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.922.002	1	2	3	3	3	4	3	2	2	2	2	2	2	2
sim.923.002	1	1	3	1	1	1	1	3	2	0	0	0	0	0
sim.924.002	2	3	3	3	2	2	3	3	3	0	0	0	0	0
sim.925.002	1	1	1	1	1	1	1	1	2	2	1	0	0	0
sim.926.002	1	1	2	2	3	6	2	1	2	0	2	0	1	1
sim.927.002	1	1	1	1	1	1	0	1	1	1	1	2	1	1
sim.928.002	1	1	0	1	1	1	1	0	1	0	0	0	0	0
sim.929.002	2	2	2	2	1	1	1	2	2	2	1	4	1	1
sim.93.002	0	0	0	0	0	0	0	0	0	1	0	1	1	1
sim.930.002	2	3	1	2	1	2	3	1	2	0	0	0	0	0
sim.931.002	1	1	1	1	1	1	1	1	1	1	1	1	0	0
sim.932.002	0	1	1	2	1	1	1	2	1	2	3	4	2	1
sim.933.002	1	1	2	1	1	1	1	1	1	1	2	1	1	1
sim.934.002	2	2	3	1	1	1	1	0	1	0	1	2	1	1
sim.935.002	1	1	1	3	2	2	2	2	1	2	1	1	1	1
sim.936.002	1	1	2	2	2	2	2	2	3	2	2	0	0	0
sim.937.002	3	1	0	1	1	1	1	1	1	3	2	2	1	1
sim.938.002	2	2	0	0	0	0	0	0	0	1	1	1	0	0
sim.939.002	1	1	1	1	1	1	1	2	2	0	0	0	0	0
