ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
3576	0	0	0	0	1	1	1	0	0	0	0	0	0	0
3577	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3578	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3579	0	0	0	0	0	0	0	0	0	1	0	0	0	0
358	0	0	0	0	0	0	0	0	0	1	1	1	0	0
3580	0	0	1	1	0	2	0	1	3	0	0	0	0	0
3581	0	0	0	0	0	0	0	0	0	0	1	1	0	1
3582	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3583	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3584	0	0	0	0	0	0	0	0	0	1	1	1	1	1
3585	1	0	1	1	1	1	1	1	1	1	1	1	1	1
3586	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3587	1	0	1	1	1	2	1	1	1	1	0	1	1	27
3588	0	0	0	0	0	0	0	0	0	0	0	0	4	5
3589	0	0	0	0	0	0	0	0	1	0	0	0	0	0
359	1	1	1	1	1	1	1	1	1	1	2	1	1	1
3590	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3591	0	0	1	1	1	1	1	1	1	0	0	0	0	0
3592	1	0	1	1	1	1	1	1	1	1	0	2	1	2
3593	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3594	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3595	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3596	0	0	1	1	1	1	2	1	1	0	0	0	0	0
3597	0	0	0	0	0	0	0	0	0	1	1	1	1	1
3598	0	0	0	1	1	1	1	1	1	1	0	0	0	1
3599	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36	0	0	0	0	0	0	1	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3600.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3600.2	1	1	1	1	1	1	1	1	1	1	1	0	1	0
3601	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3602	0	0	0	0	0	0	1	1	1	0	0	0	0	0
3603	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3604	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3605	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3606	0	0	0	0	0	0	0	0	0	1	2	1	1	2
3607	1	1	1	1	1	1	1	1	1	1	1	1	0	0
3608	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3609	0	0	1	1	1	1	1	0	1	0	0	0	0	0
361	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3610	0	0	1	1	1	0	0	0	0	0	0	0	0	0
3611	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3612	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3613	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3614	1	1	1	1	2	1	1	1	1	1	1	1	1	1
3615	1	1	1	1	1	1	1	1	1	1	1	1	2	1
3616	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3617.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3617.2	1	1	1	1	1	2	1	1	1	1	1	0	1	1
3618	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3619	1	1	1	1	1	1	1	1	2	1	1	1	2	1
362	1	1	1	1	1	1	1	1	1	0	0	0	0	0
3620	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3621	1	2	1	1	1	1	1	1	0	0	0	0	0	0
3622	1	2	1	2	1	1	1	1	1	0	0	0	0	0
3623	1	1	0	0	0	0	0	0	0	0	0	0	0	0
3624	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3625	0	0	0	0	0	0	0	0	0	1	0	1	2	2
3626	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3627	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3628	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3629	0	0	0	0	0	0	0	1	1	0	0	0	0	0
363	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3630	0	0	1	1	1	2	1	2	2	0	0	0	0	0
3631	0	0	0	1	1	0	0	0	0	0	0	0	0	0
3632	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3633	1	1	1	2	1	1	1	2	1	0	0	0	0	0
3634	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3635	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3636	0	0	0	0	0	1	0	0	0	0	0	0	0	0
