desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10447	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10450	1	2	1	2	1	1	1	1	1	1	1	1	1	1
none	10452	1	2	1	1	1	2	1	1	1	1	1	1	1	4
none	10455	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10456	1	1	1	1	1	1	1	2	1	1	1	1	1	1
none	10460	1	4	1	1	1	1	1	1	1	1	1	1	0	1
none	10464	1	0	1	2	1	1	1	1	1	1	1	1	1	2
none	10466	1	2	1	1	1	1	1	1	1	1	2	0	2	1
none	10467	1	1	1	1	1	1	1	1	1	0	0	1	0	0
none	10468	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	1047	1	1	1	1	1	1	2	1	1	1	1	1	2	2
none	10471	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	10472	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10473	0	0	0	1	1	0	0	1	0	0	1	0	0	0
none	10474	4	0	3	3	6	4	2	6	7	4	3	0	1	1
none	10477	1	0	1	1	1	1	1	1	1	1	1	2	2	1
none	10480	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10481	1	1	1	1	1	1	1	1	1	1	1	1	1	8
none	10483	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	10484	1	2	1	1	1	1	1	1	1	1	1	1	2	1
none	10488	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10492	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10496	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10498	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10500	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10501.1	1	0	1	1	1	1	1	1	1	0	0	0	1	1
none	10501.2	1	1	1	1	1	1	2	0	0	6	4	3	8	9
none	10504	1	1	1	1	2	1	2	2	1	1	1	1	2	2
none	10505	0	1	1	1	1	1	4	1	1	0	0	1	0	0
none	10508	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	10512	1	0	1	1	1	1	2	1	1	1	1	1	1	1
none	10519	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10526	1	1	1	2	1	1	1	1	1	1	1	1	2	1
none	10531	0	1	0	0	0	0	0	0	0	1	1	1	1	1
none	10532	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10534	1	1	1	1	1	1	1	1	1	2	1	1	2	1
none	10544	0	0	0	1	0	0	0	0	0	0	0	0	1	2
none	10552	1	0	1	1	1	1	1	1	1	2	1	1	1	1
none	10553	1	0	1	2	1	1	1	1	1	1	1	1	1	2
