ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10566	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10567	none	1	1	1	1	1	1	1	2	1	1	1	1	1	1
1057	none	1	1	1	1	1	1	1	1	1	1	1	0	1	1
10571	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10572	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10576	none	0	1	0	0	0	0	0	0	0	0	1	1	1	1
10578	none	1	4	1	1	1	1	1	1	1	2	1	1	1	1
10583	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10586	none	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1059	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10591	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
106	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10601	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10604	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10607	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10610	none	1	1	1	1	1	1	2	1	1	2	1	1	1	2
10611	none	1	1	1	1	1	1	1	2	2	1	1	1	1	2
10615	none	11	5	3	3	3	3	3	4	3	4	4	5	10	24
10619	none	1	0	3	1	1	1	1	1	1	1	0	1	0	1
10622	none	1	1	1	1	1	1	1	1	1	1	1	1	2	2
10623	none	18	1	3	2	3	5	3	2	3	0	0	0	0	1
10626	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10629	none	1	1	1	1	1	1	1	1	1	1	1	1	2	0
10630	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10634	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10635	none	1	1	1	1	1	1	1	1	1	1	1	1	2	0
10643	none	3	1	1	1	1	1	1	2	2	1	1	1	1	1
10647	none	1	1	1	2	1	1	1	3	2	0	0	0	1	2
10652	none	1	1	1	1	1	1	1	1	1	1	0	0	0	0
10653	none	1	0	0	0	0	0	0	0	0	1	1	1	1	1
10654	none	1	1	1	1	1	1	1	1	1	1	1	1	2	5
10656	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10663	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10670	none	1	1	1	1	1	1	2	1	1	1	1	1	1	1
10679	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1068	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10680	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10682	none	2	3	2	0	0	2	0	0	0	1	1	1	1	1
10688.1	none	1	0	1	1	1	1	1	1	1	1	2	1	1	0
10688.2	none	1	1	1	1	1	1	1	1	1	1	1	1	1	3
1069	none	1	1	1	1	1	1	1	1	1	1	0	0	1	2
10692	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10701	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10703	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10704	none	1	1	1	1	1	1	1	1	1	0	0	0	0	1
10706	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10707	none	1	0	1	1	1	1	1	1	0	1	0	1	0	0
10708	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10717	none	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1072.1	none	1	1	1	1	1	1	2	1	1	1	1	1	1	1
1072.2	none	1	0	1	1	1	1	1	1	1	3	4	3	3	4
10724	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10729	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
1073	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10733	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10736	none	2	1	1	1	1	1	1	1	1	1	0	1	1	1
10745	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10746	none	1	1	1	1	1	1	1	1	1	1	1	1	1	5
1075	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10750	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10751	none	1	0	1	1	1	1	2	1	1	1	1	1	1	1
10755	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10756	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10759	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
1076	none	1	1	1	1	1	1	1	1	2	4	3	4	3	5
10762	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10766	none	36	2	18	18	20	16	18	12	14	42	15	20	62	92
10767	none	1	2	1	1	1	1	1	1	1	1	0	1	0	1
10768	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10782	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
