OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.813.014	none	0	0	0	0	0	0	0	0	0	0	4	0	0	0
sim.814.014	none	0	0	0	0	0	0	0	0	0	0	0	13	12	5
sim.815.014	none	0	0	0	0	0	0	0	0	0	0	0	9	0	0
sim.816.014	none	0	0	0	0	0	0	0	0	0	4	2	3	0	1
sim.817.014	none	4	4	7	11	2	2	6	8	3	0	0	0	0	0
sim.818.014	none	0	0	0	0	0	0	0	0	0	3	4	0	0	0
sim.819.014	none	0	0	0	0	0	0	0	0	0	3	2	1	3	3
sim.82.014	none	1	0	4	4	1	0	2	2	6	0	0	0	0	0
sim.820.014	none	0	0	0	0	0	0	0	0	0	2	2	1	2	3
sim.821.014	none	0	0	0	0	0	0	0	0	0	0	1	3	4	7
sim.822.014	none	0	0	0	2	1	1	2	1	2	0	0	0	0	0
sim.823.014	none	0	0	0	0	0	0	0	0	0	3	5	0	0	0
sim.824.014	none	6	1	0	0	0	0	0	0	0	0	0	0	0	0
sim.825.014	none	0	0	0	0	0	0	0	0	0	0	2	1	2	2
sim.826.014	none	0	0	0	0	0	0	0	0	0	2	4	0	3	1
sim.827.014	none	0	0	0	0	0	0	0	0	0	0	0	2	1	2
sim.828.014	none	0	0	0	4	1	2	2	0	0	0	0	0	0	0
sim.829.014	none	9	8	6	7	2	1	3	8	7	2	0	10	2	1
sim.83.014	none	0	0	0	0	0	0	0	0	0	16	11	1	1	1
sim.830.014	none	1	3	2	9	4	6	9	7	4	0	0	0	0	0
sim.831.014	none	0	0	0	0	0	0	0	0	0	0	3	4	2	2
sim.832.014	none	1	1	5	3	1	2	2	3	3	0	0	1	0	1
sim.833.014	none	0	0	0	0	0	0	0	0	0	5	0	3	7	3
sim.834.014	none	0	0	0	0	0	0	0	0	0	0	8	3	6	3
sim.835.014	none	13	6	3	2	0	1	1	1	0	0	0	0	0	0
sim.836.014	none	0	0	0	0	0	0	0	0	0	2	8	6	1	2
sim.837.014	none	0	0	0	0	0	0	0	0	0	1	3	0	1	0
sim.838.014	none	4	6	4	1	0	0	0	2	4	0	0	0	0	0
sim.839.014	none	0	0	0	0	0	0	0	0	0	3	3	0	0	0
sim.84.014	none	0	0	0	0	0	0	0	0	0	2	15	3	1	4
sim.840.014	none	0	0	0	0	0	0	0	0	0	3	8	7	4	2
sim.841.014	none	12	12	3	6	3	3	4	2	1	0	0	0	0	0
sim.842.014	none	6	3	7	4	4	3	9	4	8	0	0	0	0	0
sim.843.014	none	0	0	0	0	0	0	0	0	0	1	0	4	6	3
sim.844.014	none	11	10	8	6	8	7	8	10	8	0	0	0	0	0
sim.845.014	none	3	4	19	6	15	14	12	5	9	0	0	3	2	0
sim.846.014	none	0	0	0	0	0	0	0	0	0	7	7	14	10	5
sim.847.014	none	9	7	9	11	4	7	9	8	7	0	0	0	0	0
sim.848.014	none	1	5	1	0	2	1	4	0	1	0	0	0	0	0
sim.849.014	none	0	0	0	0	0	0	0	0	0	5	7	0	0	0
sim.85.014	none	4	3	7	4	1	1	1	2	5	8	6	0	0	0
sim.850.014	none	10	10	23	12	21	19	17	20	19	0	0	0	0	0
sim.851.014	none	2	2	2	1	3	7	2	10	4	0	0	0	0	0
sim.852.014	none	2	4	8	15	14	7	7	9	3	3	1	1	1	1
sim.853.014	none	2	4	10	6	1	1	1	5	9	0	0	0	0	0
sim.854.014	none	0	0	0	0	0	0	0	0	0	10	7	0	0	2
sim.855.014	none	5	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.856.014	none	0	0	0	0	0	0	0	0	0	4	0	4	1	2
sim.857.014	none	0	3	5	2	6	3	1	1	3	0	0	0	0	0
sim.858.014	none	1	7	10	11	9	9	5	9	6	0	0	0	0	0
sim.859.014	none	0	0	0	0	0	0	0	0	0	1	0	7	8	6
sim.86.014	none	5	9	1	2	0	0	0	4	1	0	6	14	6	9
sim.860.014	none	0	0	0	0	0	0	0	0	0	3	7	3	14	8
sim.861.014	none	0	0	1	0	0	0	0	0	1	0	3	1	0	0
sim.862.014	none	2	8	7	8	6	8	9	8	15	0	0	0	0	0
sim.863.014	none	0	0	0	0	0	0	0	0	0	35	11	14	7	14
sim.864.014	none	3	0	1	2	2	1	1	4	4	0	0	0	0	0
sim.865.014	none	0	3	0	2	1	1	1	0	0	0	0	0	1	1
sim.866.014	none	0	0	5	1	1	0	2	1	2	0	0	0	0	0
sim.867.014	none	0	0	0	0	0	0	0	0	0	0	0	2	3	3
